,名前,説明,画像,動画,属性情報→,,,,個数
tokenId,name,description,image_url,animation_url,place,image quality,,,
1092,#1092 🙏Itadakimasu Man🙏 2023/02/21,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1092 初台のハンバーガー・サンドイッチ店、BASE（ベイス）のテリヤキバーガーをmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=Vc6_zvYSgJ0](https://www.youtube.com/watch?v=Vc6_zvYSgJ0)",ipfs://QmTT83m6gj3LKA1PfYbTZn7qKnojjBqc97C7FUEduVrDk5,,home,high,,,
1091,#1091 🙏Itadakimasu Man🙏 2023/02/20,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1091 ブリトー＆タコス専門店、フリホーレス代官山のクラシックベジタコスをmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=43pQwW0DlqE](https://www.youtube.com/watch?v=43pQwW0DlqE)",ipfs://QmUwtNK6hPJ5atJkuAFEDnRXBbXrmr9Q3kJktjcRRekDcZ,,home,high,,,
1090,#1090 🙏Itadakimasu Man🙏 2023/02/19,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1090 南青山のカフェ、リトルプールコーヒーのふわふわオムライスをウーバーイーツでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=axkmcwwpz0U](https://www.youtube.com/watch?v=axkmcwwpz0U)",ipfs://QmNiGLAfdYXGqQZj3SCVt1vKcKd1xmrviqEGrSPpYsbgKq,,home,high,,,
1089,#1089 🙏Itadakimasu Man🙏 2023/02/18,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1089 中華料理店、中国茶房8麻布十番店の麻婆豆腐をmenuでデリバリーして食べたみた #ASMR \n[https://www.youtube.com/watch?v=VHXsFsgMk6o](https://www.youtube.com/watch?v=VHXsFsgMk6o)",ipfs://QmRiciBAhLik48EmKWvtpwkW9vEZqJFipNwfA4QFPjCHxj,,home,high,,,
1088,#1088 🙏Itadakimasu Man🙏 2023/02/17,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1088 代々木のハンバーガー店JB’s TOKYOのアボカドバーガーをmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=3pnJ_Gkh-jU](https://www.youtube.com/watch?v=3pnJ_Gkh-jU)",ipfs://QmWjRffwWAsgJcxJPhNQsRJAGYiZnRYdKH6SJy8HCwxFxc,,home,high,,,
1087,#1087 🙏Itadakimasu Man🙏 2023/02/16,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1087 恵比寿の無農薬野菜サラダ専門店、カタルシックスサラダのオクラ納豆の和風出汁サラダをウーバーイーツでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=jgl8GqVh3As](https://www.youtube.com/watch?v=jgl8GqVh3As)",ipfs://Qmb1bwKLdUt1f9y6eJTUEksUqnKcQkdshJTgqkccEkf52p,,home,high,,,
1086,#1086 🙏Itadakimasu Man🙏 2023/02/15,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1086 渋谷東急フードショーの点心専門店PAOPAOの和豚もちぶた肉まん3個入をmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=lNO2oVLoha0](https://www.youtube.com/watch?v=lNO2oVLoha0)",ipfs://QmYM8LSjjS76HY71XyVagMbFwGr68Cy5LCwPJcqVjL46rX,,home,high,,,
1085,#1085 🙏Itadakimasu Man🙏 2023/02/14,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1085 バレンタインなので人気ドーナツ店クリスピークリームドーナツ渋谷シネタワー店のLOVEチョコレート！ボックスをmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=wfwIX22EyvE](https://www.youtube.com/watch?v=wfwIX22EyvE)",ipfs://QmNbLsFXKGXpCSUSDqTL1U7ZSAYfDeGQ7MM3jfWpwV2kjD,,home,high,,,
1084,#1084 🙏Itadakimasu Man🙏 2023/02/13,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1084 ベーグル専門店ベーグル＆ベーグル恵比寿店のベーグルサンド、スモークサーモン＆クリームチーズをmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=SuQuHYBne3I](https://www.youtube.com/watch?v=SuQuHYBne3I)",ipfs://QmbtPcZMWjkZFtrB7aDtuZMLvc8rkyVvXf6V7eP2izsBYs,,home,high,,,
